artist,album,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Word Count,Prop Unique Words,Avg Sentiment,Prop Lines Pos,Prop Lines Neu,Prop Lines Neg
Souls Of Mischief,93 'til Infinity,93 'Til Infinity,0PV1TFUMTBrDETzW6KQulB,68,0.59,0.672,1,-11.792,1,0.41200000000000003,1.04e-06,0.147,0.688,206.247,286440,4,1993,617.0,0.5623987034035657,0.026231147540983605,0.22950819672131148,0.6147540983606558,0.1557377049180328
A Tribe Called Quest,Midnight Marauders,Electric Relaxation,32WDVNZXIAuu7EqncTTKjH,52,0.852,0.418,11,-12.823,1,0.42,0.35,0.126,0.6509999999999999,98.23700000000001,243800,4,1993,474.0,0.4282700421940928,0.2753255813953489,0.5348837209302325,0.32558139534883723,0.13953488372093023
Black Moon,Enta Da Stage,Buck Em Down,59WUs7XrUI47VZZ5NxZWCs,39,0.6970000000000001,0.636,2,-12.447000000000001,1,0.0971,0.0,0.157,0.473,96.962,279107,4,1993,429.0,0.5384615384615384,-0.1621035714285714,0.11904761904761904,0.47619047619047616,0.40476190476190477
Snoop Dogg,Doggystyle,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",3bA5Xfk5JyPGtBh00GX8Gk,66,0.84,0.7979999999999999,8,-5.079,1,0.0699,4.3200000000000007e-05,0.172,0.695,100.175,246347,4,1993,359.0,0.5515320334261838,-0.09236666666666667,0.21333333333333335,0.44,0.3466666666666667
A Tribe Called Quest,Midnight Marauders,Award Tour,5YTM7OgQDt9EJAYcfHLniJ,62,0.812,0.6,7,-9.414,1,0.254,8.38e-06,0.17300000000000001,0.555,97.338,226440,4,1993,395.0,0.5848101265822785,0.10932666666666666,0.3333333333333333,0.52,0.14666666666666667
Geto Boys,Til Death Do Us Part,Six Feet Deep,7fOa2YngldFhZpkPpQVwpb,37,0.8109999999999999,0.502,10,-12.377,0,0.239,0.00952,0.374,0.759,137.81,324333,4,1993,386.0,0.7202072538860104,-0.0853943661971831,0.2112676056338028,0.4647887323943662,0.323943661971831
Digable Planets,Reachin' (A New Refutation Of Time And Space),Where I'm From,1962ZwEY7WNQLcmYFn3eR9,59,0.8759999999999999,0.42,0,-18.246,0,0.27899999999999997,0.00186,0.0668,0.706,98.304,275342,4,1993,475.0,0.6063157894736843,0.0724663043478261,0.29347826086956524,0.5652173913043478,0.14130434782608695
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],Da Mystery of Chessboxin',4xOTVtbCPcfxMs2hSt9D6i,59,0.925,0.38799999999999996,2,-10.508,1,0.419,0.0,0.332,0.359,105.056,287840,4,1993,566.0,0.6448763250883393,-0.0774375,0.22321428571428573,0.41964285714285715,0.35714285714285715
Cypress Hill,Black Sunday,Hits from the Bong,0cfqYhY6B8PbGF9vaVNUeG,65,0.8009999999999999,0.578,1,-13.264000000000001,1,0.18100000000000002,0.8109999999999999,0.19899999999999998,0.499,92.139,160867,4,1993,195.0,0.5230769230769231,0.016507843137254903,0.13725490196078433,0.7450980392156863,0.11764705882352941
E-40,The Mail Man (Original Master Peace),Captain Save A Hoe,4ixD6bSwnSlzuBrd2c80vI,43,0.8,0.336,7,-19.552,1,0.252,0.0,0.223,0.5379999999999999,82.99600000000001,288298,4,1993,445.0,0.5528089887640449,-0.009562244897959198,0.3163265306122449,0.37755102040816324,0.30612244897959184
