card_id,name,type,desc,atk,def,level,race,attribute,scale,archetype,linkval,linkmarkers,image_url,image_url_small,ban_tcg,ban_ocg,ban_goat,staple,views,viewsweek,upvotes,downvotes,formats,treated_as,card_tcg_date,ocg_date,konami_id,has_effect,set_id,set_rarity,set_rarity_code,set_name,num_of_cards,set_tcg_date,set_code
70781052,Summoned Skull,Normal Monster,"A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force.

(This card is always treated as an ""Archfiend"" card.)",2500.0,1200.0,6.0,Fiend,DARK,,Archfiend,,,https://images.ygoprodeck.com/images/cards/70781052.jpg,https://images.ygoprodeck.com/images/cards_small/70781052.jpg,,,,,461836,0,72,11,GOAT|OCG GOAT|Duel Links|Common Charity|Speed Duel|TCG|OCG|Master Duel,Summoned Skull,2001-01-01,1999-07-22,4028.0,0,a9cc1e0613d1b88098a29464879285a2,Common,(C),Summoned Skull Sample promotional card,1,2001-01-01,SDY-004
39111158,Tri-Horned Dragon,Normal Monster,An unworthy dragon with three sharp horns sprouting from its head.,2850.0,2350.0,8.0,Dragon,DARK,,,,,https://images.ygoprodeck.com/images/cards/39111158.jpg,https://images.ygoprodeck.com/images/cards_small/39111158.jpg,,,,,234847,0,34,2,GOAT|OCG GOAT|Duel Links|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-08-26,4711.0,0,8d1bb889266b35581fb2812b9d5f4013,Secret Rare,(ScR),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-000
89631139,Blue-Eyes White Dragon,Normal Monster,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",3000.0,2500.0,8.0,Dragon,LIGHT,,Blue-Eyes,,,https://images.ygoprodeck.com/images/cards/89631139.jpg,https://images.ygoprodeck.com/images/cards_small/89631139.jpg,,,,,2974079,52,423,154,GOAT|Speed Duel|OCG GOAT|Duel Links|Speed Duel|Common Charity|Edison|TCG|OCG|Master Duel,Blue-Eyes White Dragon,2002-03-08,1999-03-06,4007.0,0,8d1bb889266b35581fb2812b9d5f4013,Ultra Rare,(UR),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-001
76184692,Hitotsu-Me Giant,Normal Monster,"A one-eyed behemoth with thick, powerful arms made for delivering punishing blows.",1200.0,1000.0,4.0,Beast-Warrior,EARTH,,,,,https://images.ygoprodeck.com/images/cards/76184692.jpg,https://images.ygoprodeck.com/images/cards_small/76184692.jpg,,,,,248349,0,13,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4009.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-002
45231177,Flame Swordsman,Fusion Monster,"""Flame Manipulator"" + ""Masaki the Legendary Swordsman""",1800.0,1600.0,5.0,Warrior,FIRE,,,,,https://images.ygoprodeck.com/images/cards/45231177.jpg,https://images.ygoprodeck.com/images/cards_small/45231177.jpg,,,,,262094,52,27,2,GOAT|Speed Duel|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,Flame Swordsman,2002-03-08,1999-03-06,4021.0,0,8d1bb889266b35581fb2812b9d5f4013,Super Rare,(SR),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-003
32274490,Skull Servant,Normal Monster,A skeletal ghost that isn't strong but can mean trouble in large numbers.,300.0,200.0,1.0,Zombie,DARK,,Skull Servant,,,https://images.ygoprodeck.com/images/cards/32274490.jpg,https://images.ygoprodeck.com/images/cards_small/32274490.jpg,,,,,290000,0,40,4,GOAT|OCG GOAT|Speed Duel|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4030.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-004
46986421,Dark Magician,Normal Monster,''The ultimate wizard in terms of attack and defense.'',2500.0,2100.0,7.0,Spellcaster,DARK,,Dark Magician,,,https://images.ygoprodeck.com/images/cards/46986421.jpg,https://images.ygoprodeck.com/images/cards_small/46986421.jpg,,,,,3920482,26,16,4,GOAT|Speed Duel|OCG GOAT|Duel Links|Speed Duel|Common Charity|Edison|TCG|OCG|Master Duel,Dark Magician,2002-03-08,1999-02-04,4041.0,0,8d1bb889266b35581fb2812b9d5f4013,Ultra Rare,(UR),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-005
6368038,Gaia The Fierce Knight,Normal Monster,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.,2300.0,2100.0,7.0,Warrior,EARTH,,Gaia The Fierce Knight,,,https://images.ygoprodeck.com/images/cards/6368038.jpg,https://images.ygoprodeck.com/images/cards_small/6368038.jpg,,,,,176665,0,23,3,GOAT|OCG GOAT|Duel Links|Speed Duel|Common Charity|Edison|TCG|OCG|Master Duel,Gaia The Fierce Knight,2002-03-08,1999-02-04,4044.0,0,8d1bb889266b35581fb2812b9d5f4013,Ultra Rare,(UR),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-006
91152256,Celtic Guardian,Normal Monster,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.",1400.0,1200.0,4.0,Warrior,EARTH,,Celtic Guard,,,https://images.ygoprodeck.com/images/cards/91152256.jpg,https://images.ygoprodeck.com/images/cards_small/91152256.jpg,,,,,185551,26,21,3,GOAT|OCG GOAT|Speed Duel|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,Celtic Guardian,2002-03-08,1999-03-18,4047.0,0,8d1bb889266b35581fb2812b9d5f4013,Super Rare,(SR),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-007
89091579,Basic Insect,Normal Monster,"Usually found traveling in swarms, this creature's ideal environment is the forest.",500.0,700.0,2.0,Insect,EARTH,,,,,https://images.ygoprodeck.com/images/cards/89091579.jpg,https://images.ygoprodeck.com/images/cards_small/89091579.jpg,,,,,132394,0,12,1,GOAT|OCG GOAT|Speed Duel|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4056.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-008
